"xpgl0yc8pxt7e81k","Aunt Nancy's House","Nate Schwartzman","NULL","AUNT NANCY'S HOUSE","SCHWARTZMAN, NATE","IF Competition 1997,incomplete,puzzleless","1997-01-01 00:00:00","Release 1","Freeware","Inform 6","en","""This is an interactive tour of the author's aunt's soon-to-be former home."" [--blurb from The Z-Files Catalogue]","NULL","NULL","NULL","Slice of life","NULL","342","NULL","NULL","2007-09-29 00:00:00","thc7348i79babboi","2008-05-13 15:27:03","3"
"0s0a9h63qfmne3hc","Echappée Belle Dans Les Contrées du Rêve","FibreTigre","NULL","ECHAPPéE BELLE DANS LES CONTRéES DU RêVE","FIBRETIGRE","I6 source available,French Comp 2005,cover art,Lovecraftian,Lovecraftian parody,foreign language,french,walkthrough","2005-01-01 00:00:00","1","Freeware","Inform 6","fr","NULL","http://ifdb.tads.org/viewgame?coverart&id=0s0a9h63qfmne3hc","NULL","NULL","Lovecraftian","NULL","2878","http://ginko968.free.fr/jeux/dreamlands.htm","NULL","2007-09-29 00:00:00","lljg74o8dkisal1w","2016-11-29 08:15:43","8"
"82mn545s8bt3csa4","Shrapnel","Adam Cadre","Adam Cadre {b4izkuu9lsuap84w}","SHRAPNEL","CADRE, ADAM","Xyzzy Awards 2000,puzzleless,strong profanity,violence,male protagonist,dysfunctional families,complicity,narrative,violence,war,sf,surreal,time travel,cover art,experimental,American Civil War,experimental,puzzleless,surreal,Inform 6,XYZZY Best Use of Medium,parser","2000-02-12 00:00:00","1.01","Freeware","Inform 6","en","NULL","http://ifdb.tads.org/viewgame?coverart&id=82mn545s8bt3csa4","NULL","NULL","Horror/Surreal/Time Travel/Historical","NULL","645","http://adamcadre.ac/if.html#Shrapnel","NULL","2007-09-29 00:00:00","gy4p10myt2srnjyp","2013-03-03 07:42:26","7"
"bm7tel165u7oglf7","Perilous Magic","David Fillmore","NULL","PERILOUS MAGIC","FILLMORE, DAVID","built-in hints,I6 source available,Zork","1999-01-01 00:00:00","Release 10","Freeware","Inform 6","en","""A really short interactive comic tragedy."" Humourously based on Infocom's <a game=""vu4xhul3abknifcr"">Enchanter</a> trilogy, your goal is to run off a newly completed report in triplicate. But you'll need the appropriate spell scrolls...
[--blurb from The Z-Files Catalogue]","NULL","NULL","NULL","Zorkian","NULL","1148","NULL","NULL","2007-09-29 00:00:00","8tqtppvpzluoq2jf","2012-12-29 00:50:41","6"
"d01a4d4clbl7856j","Puzzle","Andrew Schepler","NULL","PUZZLE","SCHEPLER, ANDREW","I6 source available","1998-01-01 00:00:00","NULL","Freeware","Inform 6","en","NULL","NULL","NULL","NULL","NULL","NULL","1149","NULL","NULL","2007-09-29 00:00:00","","2007-09-29 20:48:19","1"
"08laspg8uuoysd2f","Beyond Zork sample transcript","Allen Garvin","NULL","BEYOND ZORK SAMPLE TRANSCRIPT","GARVIN, ALLEN","Zork","1998-01-01 00:00:00","NULL","Freeware","Inform 6","en","NULL","NULL","NULL","NULL","NULL","NULL","1144","NULL","NULL","2007-09-29 00:00:00","","2007-09-29 20:48:19","1"
"eipoymlzqmu5ps9h","The WadeWars Book III: Askin","Jim Fisher","NULL","WADEWARS BOOK III: ASKIN, THE","FISHER, JIM","NULL","1993-01-01 00:00:00","106","Shareware","Inform 6","en","NULL","NULL","NULL","NULL","Fantasy","NULL","670","NULL","NULL","2007-09-29 00:00:00","gy4p10myt2srnjyp","2013-03-18 05:50:25","2"
"mjydjzqtoidccadp","SCI-FI (previously ""Jet-Blue"")","Paul T. Johnson","NULL","SCI-FI (PREVIOUSLY ""JET-BLUE"")","JOHNSON, PAUL T.","NULL","2004-01-01 00:00:00","5","Freeware","Inform 6","en","NULL","NULL","NULL","NULL","Space Exploration","NULL","2411","NULL","NULL","2007-09-29 00:00:00","3wcnay8ie4ajtyrm","2015-06-23 03:35:26","7"
"zkpn8rw1sr6hhy5i","Captain Cumshot's Second Adventure: The Rim Job","Jake Wildstrom","Jake Wildstrom {2irqkhujsl5t6ubs}","CAPTAIN CUMSHOT'S SECOND ADVENTURE: THE RIM JOB","WILDSTROM, JAKE","SpeedIF May 2006,surprisingly not pornographic,vehicle","2006-01-01 00:00:00","1","Freeware","Inform 7","en","In the second installment of the Captain Cumshot series, the eponymous major (after a promotion) travels to the furthest reaches of the galaxy to repair a malfunctioning unmanned mining station.

Except for the provocative title, this game is devoid of explicit or offensive content.","NULL","the Captain Cumshot series","2","Space Exploration","Polite","2898","http://www.crochetgeek.net/IF/","NULL","2007-09-29 00:00:00","2irqkhujsl5t6ubs","2010-05-26 17:43:07","3"
"ggdxsqyzos753507","Little Green Robbing Hood","Jake Wildstrom","Jake Wildstrom {2irqkhujsl5t6ubs}","LITTLE GREEN ROBBING HOOD","WILDSTROM, JAKE","SpeedIF January 2006,fairy tale","2006-01-01 00:00:00","1","Freeware","Inform 6","en","NULL","NULL","NULL","NULL","NULL","NULL","2895","NULL","NULL","2007-09-29 00:00:00","2irqkhujsl5t6ubs","2013-01-23 18:27:33","3"
