mlcp0rjb34vnitau,5.0000,3
ocuswddzn9kdu54v,5.0000,3
u58d0mlbfwcorfi,4.8462,26
aearuuxv83plclpl,4.7681,69
8ovhr7mn59aut5qm,4.7500,4
2mut5bgxa29zggnt,4.6667,6
taemmwp7jhbej8ay,4.6667,3
clxhmjndw5zwu9ui,4.6667,3
op0uw1gn1tjqmjt7,4.6528,265
du51t0qrhjqlnbij,4.6296,27
a3559c86fe59c4on,4.6250,8
k6yq5koj2zjzstpt,4.5758,33
ec6x9y8qcmsrxob9,4.5714,14
5xzoz5wimz4xxha,4.5385,26
7vtm1rq16hh3xch,4.5294,34
1aliwzro4e48mdlt,4.5286,70
4x8kevhfmh9ikck6,4.5000,4
ny5d87fqbeh3pnuz,4.5000,4
8ff0n6c5kt5hcs7,4.5000,6
q9n56sd2s8fkowf,4.5000,6
j18kjz80hxjtyayw,4.4776,67
mohwfk47yjzii14w,4.4606,317
xe6kb3cuqwie2q38,4.4598,87
xf5y04yekcrqtnc,4.4583,24
p0cizeb3kiwzlm2p,4.4565,92
pu8btwofyvja347d,4.4444,9
ez2mcyx4zi98qlkh,4.4444,81
u6wzkckne4zsafyl,4.4074,81
4a8gei7egnz7tsaw,4.4000,5
hslgyznv9n2hou7k,4.4000,25
p4dlfwy4yg6pzdba,4.4000,15
z37lzijvuz5gtsu2,4.4000,5
4glrrfh7wrp9zz7b,4.3992,253
g0fl99ovcrq2sqzk,4.3898,59
6xbqnmlxvkju2n04,4.3846,13
3q9hg2onqjftx5vi,4.3704,27
bu2v2j5sqpf4usex,4.3684,19
jdrbw1htq4ah8q57,4.3667,60
2xyccw3pe0uovfad,4.3614,202
grmj2pkmo37x3fzs,4.3600,25
xu3axh98nft8qm8n,4.3571,14
p28i3fd0gw0f7b0,4.3333,6
bfgzleyq9qw8a15r,4.3333,3
wfulqnwlueu660ta,4.3333,3
4ygzc9qcj6rxhh1,4.3333,3
9pzxnionaukagaoh,4.3333,3
zflc6mnml1vqgk2s,4.3333,12
o09in5l4lw3jro7e,4.3333,3
brsnzz5ntlbxnzei,4.3333,6
ygq8n9z522yapghj,4.3333,6
sqrtp4hlg5x7oli4,4.3333,6
f810fngvnv1zbxqg,4.3333,9
udsmqhmsqottnpcz,4.3333,3
ip64rdfcn722n5sm,4.3333,3
rsjzz9w60k6o6od4,4.3333,3
ara76kg5z0aksari,4.3333,3
gqipyapjwp0mhe7d,4.3333,9
mziqfn78iaytu5uf,4.3333,3
j61yaux1cqbptxyb,4.3222,90
ju778uv5xaswnlpl,4.3171,410
8upuvdnsk4sho6ac,4.3103,29
9i45md5bohgvzlqb,4.3077,13
vu4xhul3abknifcr,4.3056,72
wqsmrahzozosu3r,4.3000,40
1f4p0kxdwofvcp3i,4.3000,10
n8ngm7hx5z5e9csz,4.2941,17
9p8kh3im2j9h2881,4.2841,176
etul31tqgl3n22nl,4.2800,25
f55km4uutt2cqwwz,4.2778,36
032krqe6bjn5au78,4.2733,150
bywy6u5t28o9wm9e,4.2667,15
w5s3sv43s3p98v45,4.2667,45
riozkzowuxthkyvr,4.2500,4
g79qfkq3m3dtffq4,4.2500,16
90w2rbztjgfitd9,4.2500,8
4ecsriir9jklij4h,4.2500,4
wrt29d4nlm71udll,4.2500,24
sl5o7qnqudq0y158,4.2500,4
9nlbhqnlyb169uge,4.2353,34
obx6l90zk794ef7m,4.2308,13
tpyd3aa3isbzx9gu,4.2308,13
xkai23ry99qdxce3,4.2297,148
ouv80gvsl32xlion,4.2230,148
27ztb4iulm9l7sqe,4.2222,9
9xifpt8k3n3s4ky5,4.2222,9
tb4zcnikdtbxstf,4.2222,9
1t5qw2alatghgpv2,4.2143,14
snk6qx8hfn3xpm0a,4.2083,24
z5xgyw0jbt9r3ah1,4.2018,114
yqyg7ktxrt53wrfa,4.2000,10
j1uj9pygpuw3v9pc,4.2000,20
dkx1r6fivxc1j3u7,4.2000,10
kco834ddtbmrmw9z,4.2000,5
hc1r605zwa2tq7y9,4.2000,5
73nvz9yui87ub3sd,4.2000,15
sjiyffz8n5patu8l,4.2000,5
u8qqrwutdugkexpr,4.2000,5
g3qv8rgscg4vqkni,4.2000,5
3si7cd7p2s5t2p1w,4.2000,5
i6zudmmce7c5je1,4.2000,5
00e0t7swrris5pg6,4.1875,16
rnkyg9mamrpzt8xd,4.1818,11
zj3ie12ewi1mrj1t,4.1765,17
enfw92zc3tf92xn6,4.1667,18
ci6lsqnrll5qd44s,4.1667,6
ugca99t2yhtat452,4.1667,18
5e23lnq25gon9tp3,4.1639,61
kbd990q5fp7pythi,4.1613,31
9pirdetlvv55uaob,4.1538,13
6woo7479u4b5xgn4,4.1538,26
j1mezrc5u38eeca6,4.1538,13
28uhmejlntcbccqm,4.1500,60
fylzkxxyxjvoya6,4.1481,27
4h62dvooeg9ajtfa,4.1467,75
6dj2vguyiagrhvc2,4.1453,117
zqqa37wbegl3525l,4.1429,21
ruaersctvvr7t6vh,4.1429,21
9bgglbug7g1fxlxe,4.1429,7
8vvnpqs29ivgjk4u,4.1429,7
jhbd0kja1t57uop,4.1406,64
ywwlr3tpxnktjasd,4.1383,94
lidg5nx9ig0bwk55,4.1364,44
qtr168k4p9depk3l,4.1364,22
3p9fdt4fxr2goctw,4.1346,52
xzsklx9j3oqpzlqj,4.1333,15
z3scyumvgsr75blm,4.1250,16
afy6ej5cn9hof20m,4.1250,16
cg4j40i7wq34ggo1,4.1200,25
cpwktis6qwh9ydn8,4.1200,50
oh79xwaslykbphw6,4.1154,26
b74ur5fu47hipfnq,4.1111,9
y9m60ythcj2xn9r,4.1111,27
9s66qxkt22kq5wv9,4.1081,37
l2ilwuc1pjludp7p,4.1000,10
3a9rb059miw9fc9h,4.1000,10
ohwkcbpfdtjrzrz6,4.1000,10
t47hei9uq10xoar8,4.0968,31
ov7wpv4l1fth1tro,4.0952,21
8pe83e92v4nvabic,4.0943,53
f7zdhxmiraht53d1,4.0930,43
17coplfu323xif76,4.0909,44
9ntef9expou18abv,4.0909,55
ap1651hvjldbuugj,4.0893,56
zoohwv5nqye7up2t,4.0870,23
tyg3o94ltiu6jh0o,4.0833,12
445d989vuwlh4cvz,4.0816,49
6f1j5et0lguk2fol,4.0811,37
ahhlbqy5f39wd1x,4.0769,39
fq26p07f48ckfror,4.0725,69
1iqmpkn009h9gbug,4.0714,14
3a4kqs374jqu2li6,4.0714,42
myktccphmb29xjne,4.0714,14
rzlh5jug39wpccei,4.0714,14
6d9dfn2akcrlq1bu,4.0685,73
2cuwjlvpybg8oaf0,4.0667,30
plvzam05bmz3enh8,4.0645,93
yeriagiwygnuvbhh,4.0588,17
sicva377zqygxcq2,4.0435,23
d9h1r3d920ap8ajf,4.0435,23
7e699ifb6u3767yr,4.0385,26
2ej7ntbmoit9ytvy,4.0328,61
frfoh6e7hur2beiu,4.0286,35
tqlte48fgxxlbxem,4.0286,35
9h6o1charof548ii,4.0256,39
pwyjp54iubdq70p0,4.0233,43
8l9cdcd1tbt77hfl,4.0192,52
z02joykzh66wfhcl,4.0133,75
pmqhytfqct5lf1sq,4.0000,8
78g26im7ausm4co9,4.0000,14
3h5kkuatcqtrbghr,4.0000,3
4qfjt6y5pkan2220,4.0000,5
sehdkr9qc15caue4,4.0000,5
jf4rk3cvmlajhl2r,4.0000,61
bgoanlhn58iukzp5,4.0000,4
9pusb93mtxq2knrs,4.0000,5
8iw44v7wzo90wumh,4.0000,3
qqd3wtpwbislbvr9,4.0000,8
3rwn57i2b6nnnd2j,4.0000,3
cmkmsp75hf04ix17,4.0000,3
5u4tg8c3n8wh590o,4.0000,39
ix4lts5i4g7r8rn5,4.0000,3
csdc2mizdyqzxawx,4.0000,33
9w2xk9l8vswt1z1z,4.0000,7
nkz7z040sdfa5agn,4.0000,4
7mcxuyfwj42vc5w2,4.0000,8
hnkzjjc5aw7391gi,4.0000,5
w4bgofezs6ux9oah,4.0000,3
fpr5wg1hfacmcr3v,4.0000,3
waov63ym41b481n9,4.0000,3
mu3siat08i6ofkm4,4.0000,5
u0g7gbzeuy73okfc,4.0000,4
g6f29calzg7vkudy,4.0000,3
dfu3wifz0lspp1ky,4.0000,3
yuswctjhar6nq0vi,4.0000,4
fsujzka1ua0h5att,4.0000,39
plzdi06otgxs6u2t,4.0000,5
gugrcz22ghdljosu,4.0000,9
ivtfrko6hxfr13b6,4.0000,5
oaewsdd7ugqkre5v,4.0000,7
n83ryakhz9fbye4x,4.0000,4
3xcq5vv8yu8u8rpb,4.0000,4
b853fqjlwgmpwrce,4.0000,3
1f9c9h40j1d8x4h,4.0000,5
j9e6cd2cyujg77xd,4.0000,9
s9nuslkgsb436b1q,4.0000,16
35yqdqy3ennlte69,4.0000,5
b4itongzyveye7ur,4.0000,3
giylgstes9e8bq9z,4.0000,18
dsue30nkugcymmsx,4.0000,3
nwyd2hk2ntmhodlg,4.0000,3
zpjzp8drlwozs0j0,4.0000,7
cefpt9ubleq41v3w,4.0000,5
9525yy9pr4wix7y8,4.0000,3
yrdxe16idkn87bo8,4.0000,6
es0sfij74uu4barv,4.0000,28
52lpvfxr213sk8la,4.0000,3
yit71oog68ty9m62,4.0000,34
dr348zvp8be8ac0,4.0000,3
duc9pzl9ijw7up9,4.0000,4
f7a6q8ckas89f36f,4.0000,11
utd2or64zwqfaa7,4.0000,3
ehgrdmftq2kj7cci,4.0000,5
ujzsjpvaiq8tplcn,4.0000,6
brxdd0j3xu8mmgmc,4.0000,4
yghs5x72086bkewt,4.0000,3
1pldx5yoq46qb6cj,4.0000,3
fk4m3022wxy5z3vc,4.0000,4
g00y1bqp5mp0d74o,4.0000,3
273eae60qxg2hcqf,4.0000,4
nv45k3nw937nswug,4.0000,3
2ottee5x0vwqxl0p,4.0000,6
k8w3osnaz3zowmmg,4.0000,13
6y6sfwfk3cezl8gf,4.0000,3
spsnevz1br6f2z3v,3.9836,61
22oqimzgf8snv002,3.9821,56
10387w68qlwehbyq,3.9796,49
ddagftras22bnz8h,3.9783,46
b2g8je1xxtqzei4u,3.9783,92
6a23xff9er4s83pl,3.9762,42
xfezh9wz188ihlel,3.9740,77
94vyohlxpwgwwl39,3.9730,37
hsfc7fnl40k4a30q,3.9697,297
m85rnpq6x77jyzc3,3.9688,32
rcrihauxixy48svr,3.9677,62
xwedbibfksczn7eq,3.9623,106
ezit1n3a1idd6bn3,3.9545,22
a746d3agtfizlx0x,3.9545,22
qpecxgjpxnvw50xq,3.9524,63
ljqfvoa6dshtk8xa,3.9524,21
dk4hipbb9b3c7tli,3.9524,21
xi4s5ne9m6w821xd,3.9519,104
qzftg3j8nh5f34i2,3.9517,373
jf5zkjj3jqfllwcn,3.9459,37
5dmatpt5pf0t45pr,3.9333,15
lrbpmlpsknsgvgem,3.9302,43
77rsl9mezn5iogto,3.9286,28
pvgfinfdphogk292,3.9286,28
yzzm4puxyjakk8c4,3.9275,69
o7knzkbjicpiw729,3.9231,13
g9g79441phtamdfi,3.9231,13
j6vtd2djn6o97a8b,3.9200,25
vg34lp6tsuidfsau,3.9167,12
l7qf2lyc563kk84p,3.9123,57
