"44vx0pl3rrfi533s","http://www.ifarchive.org/if-archive/games/glulx/SagebrushCactus.gblorb","","6afc8b8fe9773bb96fbdae98ca193b30e88608980a103d088bccdcb4cd44fc3a","'Mid the Sagebrush and the Cactus.gblorb","en","","3.2667","'Mid the Sagebrush and the Cactus","Victor Gijsbers","Western","1284824429000","0","0","0","0","They shot you in the leg, the sheriff or one of his men, but you still managed to get away. You always manage to get away. And while they're off pursuing you to, who knows, perhaps Colorado, you have quietly made your way back to where it all began. What better place to rest?

In ""'Mid the Sagebrush and the Cactus"", the player will have to use a tactical combination of talking and fighting to survive a meeting with David -- the son of the man he has just killed."
"8xa9rs1qwwkonif2","http://mattweiner.net/Shufflecomp%202014/1982/1982.gblorb","","37db0ff6bab591c4cb318b86563291afec6827956c0bf1abf1a2f365acb518df","1982.gblorb","en","","3.2","1982","Zach Samuels (as Iblis Snowsdottir)","","1400368478000","0","0","0","0",""
"qzftg3j8nh5f34i2","http://www.ifarchive.org/if-archive/games/zcode/905.z5","","0f41ff7811668e236060b399ced1cd0481c1bb624a8876fc7e16dc58816f1ecb","9:05__en__es.z5","en__es","","3.9553","9:05","Adam Cadre","Slice of life","1191038400000","0","0","0","0",""
"tyuvsh5fa7d5g7x6","http://templaro.com/games/greater-than-by-at-sign.zblorb","","e5eb956379b78f14f5c2b753e9f8c23c3f5f3d93014e5ae724efa4caa4f1edfb","> by @.zblorb","en","","3.0526","> by @","Aaron A. Reed","","1298877205000","0","0","0","0",""
"c9ll6cr8zr1txtfe","http://www.ifarchive.org/if-archive/games/zcode/bear.z5","","1df8dd3487a8af6be10a92e84a1225b97eb1f8181af198568d4f884e0bea97fb","A Bear's Night Out.z5","en","","3.7","A Bear's Night Out","David Dyte","Children's/Fantasy","1191038400000","0","0","0","0","""Tomorrow is the big Teddy Bear party, and you must definitely not let your owner forget about it..."" [--blurb from The Z-Files Catalogue]"
"00wlim27k5d1hmf2","http://www.ifarchive.org/if-archive/games/zcode/weather.z5","","9038c8045d4fc53892901315db98ebc2e36df37b5ea468e1723d6cbacec906d2","A Change in the Weather.z5","en","","3.4528","A Change in the Weather","Andrew Plotkin","Fantasy/Slice of life","1191038400000","0","0","0","0","""Walking away from a picnic, you are suddenly caught in a country storm. You must protect a bridge from being destroyed. An ultra-linear game."" [--blurb from The Z-Files Catalogue]"
"41dz8rxf0b3wk3m3","http://www.ifarchive.org/if-archive/games/competition2011/zcode/elfenmaiden/elfenMaiden.zblorb","","c8e40a75aee9a4b5d0fd68df895613dca325965f5430965a8dad74dede78bceb","A Comedy of Error Messages.zblorb","en","","3.0476","A Comedy of Error Messages","Adam Le Doux","","1319510930000","0","0","0","0","A loyal but punctilious PC attempts to save its master from taking part in a disastrous blind-date, set up through the MMORPG Realms of Realmland.<br />
(This is the game formerly known as The Elfen Maiden)"
"7yiyxcnrlwejoffd","http://www.ifarchive.org/if-archive/games/zcode/Sushi.zblorb","","5e5c7d7eac5abf9deb42a575e551935b488f3e11f36f325f515a7ef41946d9e0","A Day for Fresh Sushi.zblorb","en","","3.3194","A Day for Fresh Sushi","Emily Short","Humor/Slice of life","1191038400000","0","0","0","0","No time for fantasy. Must feed fish."
"aktys788a52fac96","http://www.ifarchive.org/if-archive/games/competition99/inform/softfood/softfood.z5","","25737967bf9b3d854674365342e048b9851075ef7cc11ad7c8baf4bd518c0260","A Day for Soft Food.z5","en","","3.625","A Day for Soft Food","Tod Levi","Slice of life","1191038400000","0","0","0","0","""Ever since the provider's sickness began, he's been all hisses and growls. Even the slightest misstep seems to annoy him. Perhaps that's why your bowl has held nothing but hard food lately. And not much of that."" [--blurb from Competition '99]"
"g4cgwblf9pzr91u","http://www.ifarchive.org/if-archive/games/springthing/2009/FlusteredDuck.ulx","","cc36af71f2f385279a2076ecf931f408c3a14a2052eac68690605eba31747503","A Flustered Duck.ulx","en","","3.4444","A Flustered Duck","Jim Aikin","","1239362696000","0","0","0","0",""
